idx;Artist;Category;Style;Subject;Medium;Size;Orientation;price
P0000072;Ragheb Ayad;Collage;Portrait;Architecture and cityscapes;Pincil;Large;Vertical;very high
P0000073;Adam Henein;Painting;Pop Art;Animals and Birds;Acrylic;X-Large;Horizontal;high
P0000074;Ragheb Ayad;Sculpture;Figurative;Architecture and cityscapes;Lino;X-Large;Squared;very low
P0000075;Hossam Dirar;Painting;Fine Art;Architecture and cityscapes;Pincil;X-Large;Vertical;high
P0000076;Tarek El Komi;Painting;Abstract;Flowers and plants;Metal;Large;Horizontal;medium
P0000077;Ghada Amer;Collage;Conceptual;Animals and Birds;Gouache;Small;Squared;high
P0000078;Ragheb Ayad;Print;Graffiti;Flowers and plants;Chalk;Medium;Horizontal;medium
P0000079;Khaled Hafez;Painting;Pop Art;Architecture and cityscapes;Ink;X-Large;Squared;very high
P0000080;Ganzeer;Print;Surrealism;people and portraits;Mixed media;Large;Horizontal;low
P0000081;Adham Wanly;Painting;Street Art;Landscapes,sea and sky;Metal;X-Large;Vertical;very low
P0000082;Hussain Bikar;Drawing;Conceptual;Animals and Birds;Metal;Large;Horizontal;very high
P0000083;Hossam Dirar;Sculpture;Art Deco;Animals and Birds;Mono;Small;Vertical;low
P0000084;Abdel Hadi Al Gazzar;Drawing;Modern;Flowers and plants;Ceramic;Large;Squared;very low
P0000085;Ghada Amer;Painting;Documentary;Architecture and cityscapes;Acrylic;Medium;Vertical;medium
P0000086;George Bahgoury;Painting;Abstract;transportaion and maps;Gouache;Large;Vertical;very high
P0000087;George Bahgoury;Sculpture;Abstract;Landscapes,sea and sky;Metal;Medium;Horizontal;high
P0000088;Khaled Hafez;Drawing;Street Art;Landscapes,sea and sky;Acrylic;Large;Squared;low
P0000089;Mahmoud Sa'id;Drawing;Conceptual;still life;Metal;Medium;Horizontal;very low
P0000090;Emad Ibrahim;Sculpture;Art Deco;people and portraits;Charcoal;X-Large;Vertical;high
P0000091;Emad Ibrahim;Collage;Wall;Landscapes,sea and sky;Metal;Small;Vertical;very high
P0000092;Ganzeer;Painting;Folk Art;Abstract and non-figurative;Woodcut;Medium;Vertical;high
P0000093;Adam Henein;Painting;Graffiti;Flowers and plants;Ceramic;Small;Horizontal;high
P0000094;Ragheb Ayad;Print;Conceptual;Architecture and cityscapes;Ceramic;Large;Horizontal;very low
P0000095;Hossam Dirar;Drawing;Street Art;Architecture and cityscapes;Charcoal;X-Large;Squared;very high
P0000096;Ghada Amer;Print;Graffiti;Architecture and cityscapes;Acrylic;Small;Squared;very low
P0000097;Mahmoud Sa'id;Painting;Surrealism;transportaion and maps;Chalk;X-Large;Horizontal;low
P0000098;Hazem Taha Hussein;Drawing;Art Deco;transportaion and maps;Ink;Large;Horizontal;very low
P0000099;Alaa Awad;Collage;Street Art;Flowers and plants;Chalk;Large;Horizontal;medium
P0000100;Ghada Amer;Collage;Fine Art;Architecture and cityscapes;Ceramic;X-Large;Horizontal;high
P0000101;El Teneen;Print;Portrait;Architecture and cityscapes;Mono;X-Large;Vertical;high
P0000102;Hossam Dirar;Photography;Portrait;people and portraits;Chalk;Large;Vertical;low
P0000103;Khaled Hafez;Sculpture;Surrealism;Architecture and cityscapes;Chalk;Medium;Horizontal;high
P0000104;Ghada Amer;Print;Portrait;Abstract and non-figurative;Mixed media;Medium;Squared;high
P0000105;George Bahgoury;Painting;Abstract;Flowers and plants;Gouache;X-Large;Horizontal;medium
P0000106;Adham Wanly;Collage;Street Art;Flowers and plants;Mono;Medium;Horizontal;low
P0000107;El Teneen;Photography;Conceptual;people and portraits;Charcoal;Large;Vertical;low
P0000108;Khaled Hafez;Photography;Abstract;Landscapes,sea and sky;Wood;Large;Vertical;very low
P0000109;Tarek El Komi;Print;Pop Art;Architecture and cityscapes;Pastal;Large;Vertical;very high
P0000110;Ghada Amer;Photography;Modern;Flowers and plants;Ceramic;Medium;Vertical;low
P0000111;Hussain Bikar;Photography;Graffiti;Landscapes,sea and sky;Woodcut;Large;Horizontal;very high
P0000112;Adham Wanly;Sculpture;Modern;Architecture and cityscapes;Acrylic;Medium;Squared;very high
P0000113;Abdel Hadi Al Gazzar;Print;Surrealism;Architecture and cityscapes;Pastal;X-Large;Horizontal;very low
P0000114;Emad Ibrahim;Print;Street Art;still life;Acrylic;Large;Squared;very low
P0000115;El Teneen;Painting;Pop Art;Animals and Birds;Oil;Medium;Horizontal;low
P0000116;Adam Henein;Photography;Figurative;Landscapes,sea and sky;Ceramic;Small;Vertical;high
P0000117;Hazem Taha Hussein;Collage;Folk Art;Abstract and non-figurative;Acrylic;Large;Vertical;high
P0000118;Mahmoud Sa'id;Painting;Fine Art;Flowers and plants;Acrylic;Large;Horizontal;high
P0000119;El Teneen;Print;Abstract;Landscapes,sea and sky;Bronze;Medium;Squared;very high
P0000120;George Bahgoury;Collage;Abstract;Flowers and plants;Gouache;Medium;Horizontal;low
P0000121;Khaled Hafez;Collage;Surrealism;transportaion and maps;Oil;Large;Squared;medium
P0000122;El Zeft;Photography;Conceptual;Abstract and non-figurative;Acrylic;X-Large;Squared;high
P0000123;Tarek El Komi;Photography;Graffiti;transportaion and maps;Gouache;X-Large;Squared;high
P0000124;Abdel Hadi Al Gazzar;Painting;Abstract;Architecture and cityscapes;Mono;Large;Horizontal;very low
P0000125;Adham Wanly;Print;Portrait;still life;Bronze;Medium;Vertical;medium
P0000126;Ganzeer;Collage;Fine Art;transportaion and maps;Wood;Large;Squared;low
P0000127;Tarek El Komi;Drawing;Abstract;Abstract and non-figurative;Lino;Medium;Squared;very low
P0000128;Khaled Hafez;Photography;Modern;transportaion and maps;Lino;Small;Vertical;very high
P0000129;Adham Wanly;Drawing;Abstract;people and portraits;Wood;X-Large;Vertical;very low
P0000130;Tarek El Komi;Drawing;Wall;Architecture and cityscapes;Ink;Small;Squared;very low
P0000131;Abdel Hadi Al Gazzar;Collage;Pop Art;Architecture and cityscapes;Chalk;Large;Squared;low
P0000132;Mahmoud Sa'id;Photography;Fine Art;Abstract and non-figurative;Lino;Medium;Horizontal;very high
P0000133;Hussain Bikar;Print;Conceptual;Flowers and plants;Gouache;Medium;Squared;very high
P0000134;El Zeft;Print;Pop Art;Animals and Birds;Oil;Small;Vertical;low
P0000135;Abdel Hadi Al Gazzar;Photography;Portrait;Architecture and cityscapes;Woodcut;Medium;Horizontal;very high
P0000136;Adham Wanly;Drawing;Fine Art;Flowers and plants;Pincil;Large;Squared;high
P0000137;Ghada Amer;Drawing;Documentary;people and portraits;Ceramic;Small;Horizontal;high
P0000138;George Bahgoury;Photography;Figurative;Architecture and cityscapes;Lino;X-Large;Horizontal;medium
P0000139;Mahmoud Sa'id;Sculpture;Fine Art;people and portraits;Mono;Small;Horizontal;medium
P0000140;Hazem Taha Hussein;Drawing;Pop Art;Architecture and cityscapes;Ink;Medium;Squared;very high
P0000141;Mahmoud Sa'id;Collage;Graffiti;Flowers and plants;Acrylic;Small;Vertical;low
P0000142;Emad Ibrahim;Photography;Street Art;Landscapes,sea and sky;Watercolur;X-Large;Squared;high
P0000143;Alaa Awad;Painting;Wall;Architecture and cityscapes;Mono;X-Large;Vertical;low
P0000144;Fathi Hassan;Print;Surrealism;still life;Ceramic;X-Large;Horizontal;very low
P0000145;Adham Wanly;Collage;Pop Art;Landscapes,sea and sky;Lino;Small;Vertical;very low
P0000146;Mohamed El Fayoumi;Print;Figurative;Abstract and non-figurative;Metal;Large;Squared;very low
P0000147;Ragheb Ayad;Collage;Folk Art;Architecture and cityscapes;Lino;Large;Squared;high
P0000148;Hamid Nada;Painting;Conceptual;Flowers and plants;Chalk;Small;Vertical;medium
P0000149;Fathi Hassan;Collage;Modern;people and portraits;Chalk;Small;Squared;very high
P0000150;Ganzeer;Drawing;Figurative;people and portraits;Charcoal;Large;Horizontal;high
P0000151;El Zeft;Drawing;Modern;transportaion and maps;Charcoal;Small;Horizontal;low
P0000152;Adam Henein;Drawing;Portrait;Animals and Birds;Oil;X-Large;Horizontal;very low
P0000153;Ragheb Ayad;Collage;Art Deco;Flowers and plants;Watercolur;X-Large;Squared;very high
P0000154;Emad Ibrahim;Print;Wall;Abstract and non-figurative;Pastal;Large;Squared;low
P0000155;Ghada Amer;Photography;Surrealism;still life;Chalk;X-Large;Squared;low
P0000156;Adam Henein;Collage;Figurative;people and portraits;Acrylic;Large;Squared;very high
P0000157;Ghada Amer;Photography;Figurative;people and portraits;Oil;X-Large;Horizontal;medium
P0000158;Khaled Hafez;Print;Modern;transportaion and maps;Metal;Medium;Vertical;medium
P0000159;Ragheb Ayad;Sculpture;Fine Art;people and portraits;Pincil;X-Large;Vertical;high
P0000160;El Teneen;Collage;Folk Art;Landscapes,sea and sky;Ceramic;Small;Vertical;very high
P0000161;Fathi Hassan;Photography;Surrealism;transportaion and maps;Ink;Small;Vertical;high
P0000162;Hussain Bikar;Photography;Pop Art;Flowers and plants;Ink;Large;Horizontal;low
P0000163;Khaled Hafez;Print;Conceptual;Abstract and non-figurative;Mixed media;Small;Squared;very high
P0000164;Adam Henein;Photography;Modern;Flowers and plants;Gouache;X-Large;Squared;high
P0000165;Abdel Hadi Al Gazzar;Drawing;Portrait;Landscapes,sea and sky;Pincil;Medium;Vertical;low
P0000166;Ragheb Ayad;Collage;Abstract;Architecture and cityscapes;Ceramic;Large;Vertical;medium
P0000167;Ganzeer;Sculpture;Fine Art;people and portraits;Bronze;Large;Squared;very high
P0000168;Khaled Hafez;Sculpture;Surrealism;Flowers and plants;Pincil;Medium;Squared;very low
P0000169;Abdel Hadi Al Gazzar;Collage;Figurative;Flowers and plants;Lino;Medium;Vertical;low
P0000170;Ghada Amer;Collage;Conceptual;Landscapes,sea and sky;Chalk;Medium;Squared;low
P0000171;Ganzeer;Print;Fine Art;people and portraits;Pastal;X-Large;Squared;medium
P0000172;Khaled Hafez;Print;Folk Art;people and portraits;Wood;Medium;Vertical;high
P0000173;Hamid Nada;Print;Surrealism;Animals and Birds;Mixed media;X-Large;Horizontal;medium
P0000174;Alaa Awad;Collage;Wall;Architecture and cityscapes;Mono;Medium;Horizontal;high
P0000175;Mohamed El Fayoumi;Print;Art Deco;Flowers and plants;Pastal;Large;Squared;high
P0000176;Abdel Hadi Al Gazzar;Painting;Abstract;transportaion and maps;Wood;X-Large;Squared;medium
P0000177;Ghada Amer;Painting;Fine Art;Abstract and non-figurative;Pincil;Medium;Vertical;low
P0000178;Ragheb Ayad;Drawing;Art Deco;Flowers and plants;Watercolur;Medium;Vertical;high
P0000179;Adham Wanly;Photography;Art Deco;transportaion and maps;Charcoal;Large;Squared;low
P0000180;Adham Wanly;Photography;Figurative;transportaion and maps;Mixed media;Large;Squared;very low
P0000181;George Bahgoury;Drawing;Street Art;transportaion and maps;Wood;Small;Horizontal;very high
P0000182;Fathi Hassan;Painting;Portrait;Abstract and non-figurative;Chalk;Small;Squared;very high
P0000183;Alaa Awad;Collage;Wall;Landscapes,sea and sky;Lino;Small;Vertical;low
P0000184;Ragheb Ayad;Collage;Modern;still life;Charcoal;Small;Vertical;very high
P0000185;Hossam Dirar;Painting;Street Art;people and portraits;Oil;Medium;Squared;low
P0000186;Ganzeer;Print;Figurative;people and portraits;Gouache;X-Large;Squared;high
P0000187;Mahmoud Sa'id;Painting;Wall;Architecture and cityscapes;Watercolur;Medium;Squared;very low
P0000188;Hazem Taha Hussein;Drawing;Modern;people and portraits;Mono;Large;Squared;high
P0000189;Tarek El Komi;Photography;Graffiti;Animals and Birds;Bronze;Large;Horizontal;very low
P0000190;Khaled Hafez;Print;Conceptual;transportaion and maps;Oil;Small;Squared;high
P0000191;Fathi Hassan;Sculpture;Documentary;people and portraits;Ink;Large;Horizontal;very high
P0000192;Ganzeer;Print;Portrait;Architecture and cityscapes;Gouache;Large;Horizontal;medium
P0000193;Adham Wanly;Sculpture;Street Art;Abstract and non-figurative;Mono;Large;Horizontal;very high
P0000194;El Teneen;Painting;Folk Art;Abstract and non-figurative;Oil;Small;Horizontal;very high
P0000195;El Zeft;Painting;Portrait;Abstract and non-figurative;Metal;Medium;Squared;low
P0000196;Hussain Bikar;Drawing;Graffiti;Flowers and plants;Pastal;Medium;Squared;very high
P0000197;El Zeft;Collage;Portrait;Flowers and plants;Pastal;Medium;Vertical;low
P0000198;El Teneen;Drawing;Conceptual;Abstract and non-figurative;Pincil;X-Large;Vertical;low
P0000199;Abdel Hadi Al Gazzar;Photography;Conceptual;Abstract and non-figurative;Watercolur;Medium;Squared;high
P0000200;Tarek El Komi;Print;Pop Art;Flowers and plants;Gouache;Small;Squared;high
P0000201;George Bahgoury;Drawing;Figurative;people and portraits;Bronze;Large;Horizontal;medium
P0000202;Fathi Hassan;Collage;Fine Art;Abstract and non-figurative;Chalk;X-Large;Horizontal;very high
P0000203;Hossam Dirar;Print;Portrait;still life;Mono;Large;Squared;low
P0000204;Hamid Nada;Photography;Street Art;transportaion and maps;Charcoal;Large;Vertical;low
P0000205;El Teneen;Sculpture;Surrealism;Architecture and cityscapes;Ink;Medium;Squared;very high
P0000206;Tarek El Komi;Drawing;Pop Art;Animals and Birds;Mono;Medium;Vertical;very low
P0000207;Alaa Awad;Sculpture;Surrealism;transportaion and maps;Metal;X-Large;Vertical;very high
P0000208;Tarek El Komi;Print;Folk Art;Landscapes,sea and sky;Acrylic;Large;Squared;very high
P0000209;Hussain Bikar;Collage;Figurative;people and portraits;Acrylic;Medium;Squared;very low
P0000210;Adam Henein;Painting;Pop Art;Abstract and non-figurative;Metal;Medium;Horizontal;very high
P0000211;El Zeft;Painting;Wall;still life;Oil;X-Large;Vertical;very low
P0000212;Emad Ibrahim;Sculpture;Documentary;Flowers and plants;Chalk;Large;Vertical;low
P0000213;Khaled Hafez;Drawing;Abstract;Abstract and non-figurative;Pincil;Medium;Vertical;very low
P0000214;El Teneen;Print;Documentary;Architecture and cityscapes;Lino;X-Large;Squared;very high
P0000215;Adam Henein;Photography;Surrealism;Flowers and plants;Mono;Large;Vertical;very low
P0000216;Emad Ibrahim;Print;Wall;transportaion and maps;Gouache;Large;Horizontal;high
P0000217;Khaled Hafez;Sculpture;Portrait;transportaion and maps;Ceramic;Small;Horizontal;low
P0000218;Emad Ibrahim;Drawing;Abstract;Flowers and plants;Gouache;Large;Squared;high
P0000219;Adham Wanly;Collage;Fine Art;Animals and Birds;Acrylic;Medium;Vertical;low
P0000220;El Teneen;Painting;Modern;transportaion and maps;Bronze;X-Large;Horizontal;medium
P0000221;Adham Wanly;Photography;Surrealism;Architecture and cityscapes;Woodcut;Large;Horizontal;medium
P0000222;Tarek El Komi;Print;Figurative;Landscapes,sea and sky;Acrylic;Medium;Horizontal;medium
P0000223;Adham Wanly;Photography;Surrealism;still life;Gouache;Medium;Vertical;very high
P0000224;Ragheb Ayad;Sculpture;Surrealism;still life;Mixed media;Medium;Horizontal;very low
P0000225;Hazem Taha Hussein;Photography;Conceptual;people and portraits;Watercolur;Small;Vertical;medium
P0000226;Alaa Awad;Drawing;Portrait;Landscapes,sea and sky;Bronze;Medium;Squared;very low
P0000227;Fathi Hassan;Print;Folk Art;transportaion and maps;Pincil;X-Large;Squared;medium
P0000228;El Teneen;Painting;Wall;Architecture and cityscapes;Chalk;Medium;Squared;medium
P0000229;Hazem Taha Hussein;Print;Art Deco;Abstract and non-figurative;Pastal;Small;Horizontal;medium
P0000230;Hussain Bikar;Drawing;Graffiti;Animals and Birds;Pastal;X-Large;Squared;very low
P0000231;Ragheb Ayad;Photography;Abstract;Animals and Birds;Pincil;Medium;Vertical;medium
P0000232;Tarek El Komi;Drawing;Modern;Architecture and cityscapes;Woodcut;Large;Horizontal;medium
P0000233;Emad Ibrahim;Painting;Street Art;Architecture and cityscapes;Bronze;Medium;Horizontal;medium
P0000234;Adam Henein;Sculpture;Fine Art;people and portraits;Acrylic;Small;Vertical;high
P0000235;Fathi Hassan;Painting;Folk Art;Abstract and non-figurative;Acrylic;Medium;Horizontal;very low
P0000236;Ragheb Ayad;Sculpture;Surrealism;transportaion and maps;Charcoal;Small;Horizontal;high
P0000237;Emad Ibrahim;Drawing;Modern;Landscapes,sea and sky;Mixed media;Large;Vertical;high
P0000238;Ghada Amer;Collage;Art Deco;still life;Charcoal;Large;Horizontal;low
P0000239;Hazem Taha Hussein;Sculpture;Street Art;Abstract and non-figurative;Chalk;Large;Vertical;high
P0000240;Alaa Awad;Collage;Folk Art;Flowers and plants;Lino;Small;Squared;very low
P0000241;Mahmoud Sa'id;Sculpture;Modern;Animals and Birds;Chalk;Small;Squared;low
P0000242;Mohamed El Fayoumi;Collage;Abstract;transportaion and maps;Watercolur;X-Large;Horizontal;high
P0000243;El Zeft;Drawing;Wall;Landscapes,sea and sky;Oil;Medium;Vertical;medium
P0000244;Hossam Dirar;Photography;Modern;still life;Acrylic;Small;Vertical;very high
P0000245;Mahmoud Sa'id;Sculpture;Surrealism;people and portraits;Pincil;Medium;Vertical;medium
P0000246;Mahmoud Sa'id;Drawing;Street Art;still life;Chalk;Medium;Vertical;high
P0000247;Adam Henein;Collage;Street Art;Flowers and plants;Mono;Medium;Vertical;medium
P0000248;Ragheb Ayad;Painting;Portrait;transportaion and maps;Metal;X-Large;Horizontal;very low
P0000249;Khaled Hafez;Photography;Surrealism;Landscapes,sea and sky;Gouache;Large;Squared;very high
P0000250;Fathi Hassan;Painting;Portrait;Animals and Birds;Wood;Large;Horizontal;high
P0000251;Alaa Awad;Print;Graffiti;still life;Pastal;Medium;Squared;very low
P0000252;Mohamed El Fayoumi;Drawing;Pop Art;people and portraits;Mixed media;Small;Squared;high
P0000253;George Bahgoury;Print;Fine Art;Flowers and plants;Woodcut;Small;Vertical;very high
P0000254;El Zeft;Print;Abstract;still life;Acrylic;Medium;Squared;very low
P0000255;George Bahgoury;Collage;Fine Art;transportaion and maps;Wood;Small;Squared;medium
P0000256;Tarek El Komi;Sculpture;Fine Art;Architecture and cityscapes;Watercolur;Large;Vertical;very high
P0000257;Ragheb Ayad;Photography;Modern;still life;Pincil;Small;Horizontal;medium
P0000258;Khaled Hafez;Print;Wall;still life;Ink;Large;Horizontal;very high
P0000259;Tarek El Komi;Photography;Folk Art;still life;Metal;Small;Vertical;very low
P0000260;Hossam Dirar;Sculpture;Surrealism;people and portraits;Gouache;Medium;Squared;high
P0000261;Mahmoud Sa'id;Drawing;Pop Art;Animals and Birds;Metal;Small;Vertical;low
P0000262;Fathi Hassan;Sculpture;Wall;Abstract and non-figurative;Mixed media;X-Large;Squared;medium
P0000263;Adam Henein;Drawing;Portrait;people and portraits;Chalk;Small;Squared;very high
P0000264;George Bahgoury;Collage;Figurative;Architecture and cityscapes;Mixed media;X-Large;Squared;very high
P0000265;Fathi Hassan;Painting;Documentary;Abstract and non-figurative;Gouache;Large;Vertical;medium
P0000266;Ragheb Ayad;Photography;Conceptual;Architecture and cityscapes;Oil;X-Large;Vertical;very high
P0000267;Hazem Taha Hussein;Collage;Portrait;Animals and Birds;Pincil;Small;Squared;low
P0000268;El Zeft;Collage;Abstract;Abstract and non-figurative;Pastal;Medium;Vertical;very low
P0000269;Khaled Hafez;Collage;Pop Art;Animals and Birds;Lino;Small;Squared;medium
P0000270;Mahmoud Sa'id;Drawing;Surrealism;Flowers and plants;Mixed media;X-Large;Vertical;very low
P0000271;George Bahgoury;Drawing;Figurative;Architecture and cityscapes;Pincil;X-Large;Squared;very high
P0000272;Adham Wanly;Photography;Graffiti;Architecture and cityscapes;Bronze;Large;Vertical;very low
P0000273;Tarek El Komi;Collage;Modern;people and portraits;Pincil;Medium;Horizontal;very low
P0000274;Khaled Hafez;Sculpture;Conceptual;Abstract and non-figurative;Ceramic;Large;Squared;medium
P0000275;Mahmoud Sa'id;Collage;Pop Art;Animals and Birds;Pastal;Small;Vertical;medium
P0000276;Alaa Awad;Sculpture;Conceptual;Animals and Birds;Pastal;Medium;Vertical;very low
P0000277;Fathi Hassan;Painting;Art Deco;Architecture and cityscapes;Charcoal;Large;Squared;high
P0000278;Fathi Hassan;Sculpture;Documentary;still life;Pincil;Small;Horizontal;low
P0000279;Abdel Hadi Al Gazzar;Collage;Portrait;transportaion and maps;Watercolur;X-Large;Squared;medium
P0000280;Ragheb Ayad;Collage;Fine Art;transportaion and maps;Mono;Medium;Vertical;high
P0000281;Tarek El Komi;Sculpture;Fine Art;Landscapes,sea and sky;Watercolur;Large;Horizontal;very low
P0000282;El Teneen;Collage;Figurative;still life;Acrylic;Medium;Vertical;low
P0000283;Tarek El Komi;Collage;Conceptual;still life;Charcoal;Medium;Squared;very high
P0000284;El Zeft;Sculpture;Conceptual;Abstract and non-figurative;Chalk;X-Large;Horizontal;low
P0000285;Hazem Taha Hussein;Collage;Modern;transportaion and maps;Watercolur;Small;Vertical;high
P0000286;Ghada Amer;Drawing;Abstract;still life;Acrylic;Small;Horizontal;medium
